date,close,volume,open,high,low
,,,,,
6/14/2017,145.16,31454590,147.5,147.5,143.84
6/13/2017,146.59,34089190,147.16,147.45,145.15
6/10/2017,145.42,72187710,145.74,146.09,142.51
06/09/2017,148.98,64782910,155.19,155.19,146.02
6/8/2017,154.99,21144040,155.25,155.54,154.4
6/7/2017,155.37,21017560,155.02,155.98,154.48
6/6/2017,154.45,26591850,153.9,155.81,153.78
6/5/2017,153.93,25277680,154.34,154.45,153.46
6/2/2017,155.45,27715140,153.58,155.45,152.89
6/1/2017,153.18,16383610,153.17,153.33,152.22
5/31/2017,152.76,24452750,153.97,154.17,152.38
5/30/2017,153.67,20118620,153.42,154.43,153.33
5/26/2017,153.61,21895020,154,154.24,153.31
5/25/2017,153.87,19217810,153.73,154.35,153.03
5/24/2017,153.34,19201820,153.84,154.17,152.67
5/23/2017,153.8,19906170,154.9,154.9,153.31
5/22/2017,153.99,22930630,154,154.58,152.91
5/19/2017,153.06,26892850,153.38,153.98,152.63
5/18/2017,152.54,33520150,151.27,153.34,151.13
5/17/2017,150.25,50674280,153.6,154.57,149.71
5/16/2017,155.47,19994270,155.94,156.06,154.72
5/15/2017,155.7,25912270,156.01,156.65,155.05
